Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,Chile,152.0,Australia,36.0,TOTAL,47325822.0,108329955.0,18214503759.0,16619725987.0,Chile,Australia,Australia - Chile,2009-03-06,Australia; Chile,Goods & Services,Bilateral,Chile,Australia,Chile,Australia,2009.0,155655777.0,34834229746.0,-9.0,Chile-Australia,Chile,2000,78249883995.6255,Chile,Chile-Australia
2000.0,Chile,152.0,China,156.0,TOTAL,901771663.0,949498270.0,18214503759.0,16619725987.0,Chile,China,Chile - China,2006-10-01,Chile; China,Goods & Services,Bilateral,Chile,China,Chile,China,2006.0,1851269933.0,34834229746.0,-6.0,Chile-China,Chile,2000,78249883995.6255,Chile,Chile-China
2000.0,Chile,152.0,Colombia,170.0,TOTAL,236323057.0,204864584.0,18214503759.0,16619725987.0,Chile,Colombia,Chile - Colombia,2009-05-08,Chile; Colombia,Goods & Services,Bilateral,Chile,Colombia,Chile,Colombia,2009.0,441187641.0,34834229746.0,-9.0,Chile-Colombia,Chile,2000,78249883995.6255,Chile,Chile-Colombia
2000.0,Chile,152.0,Costa Rica,188.0,TOTAL,48866075.0,3928827.0,18214503759.0,16619725987.0,Chile,Costa Rica,Chile - Costa Rica (Chile - Central America),2002-02-15,Chile; Costa Rica,Goods & Services,Bilateral,Chile,Costa Rica,Chile,Costa Rica,2002.0,52794902.0,34834229746.0,-2.0,Chile-Costa Rica,Chile,2000,78249883995.6255,Chile,Chile-Costa Rica
2000.0,Chile,152.0,El Salvador,222.0,TOTAL,14373600.0,1977133.0,18214503759.0,16619725987.0,Chile,El Salvador,Chile - El Salvador (Chile - Central America),2002-06-01,Chile; El Salvador,Goods & Services,Bilateral,Chile,El Salvador,Chile,El Salvador,2002.0,16350733.0,34834229746.0,-2.0,Chile-El Salvador,Chile,2000,78249883995.6255,Chile,Chile-El Salvador
2000.0,Chile,152.0,Guatemala,320.0,TOTAL,25419942.0,13194828.0,18214503759.0,16619725987.0,Chile,Guatemala,Chile - Guatemala (Chile - Central America),2010-03-23,Chile; Guatemala,Goods & Services,Bilateral,Chile,Guatemala,Chile,Guatemala,2010.0,38614770.0,34834229746.0,-10.0,Chile-Guatemala,Chile,2000,78249883995.6255,Chile,Chile-Guatemala
2000.0,Chile,152.0,Honduras,340.0,TOTAL,11983505.0,90443.0,18214503759.0,16619725987.0,Chile,Honduras,Chile - Honduras (Chile - Central America),2008-07-19,Chile; Honduras,Goods & Services,Bilateral,Chile,Honduras,Chile,Honduras,2008.0,12073948.0,34834229746.0,-8.0,Chile-Honduras,Chile,2000,78249883995.6255,Chile,Chile-Honduras
2000.0,Chile,152.0,India,699.0,TOTAL,124459295.0,70086713.0,18214503759.0,16619725987.0,Chile,India,Chile - India,2007-08-17,Chile; India,Goods,Bilateral,Chile,India,Chile,India,2007.0,194546008.0,34834229746.0,-7.0,Chile-India,Chile,2000,78249883995.6255,Chile,Chile-India
2000.0,Chile,152.0,Indonesia,360.0,TOTAL,103565104.0,80783648.0,18214503759.0,16619725987.0,Chile,Indonesia,Chile - Indonesia,2019-08-10,Chile; Indonesia,Goods,Bilateral,Chile,Indonesia,Chile,Indonesia,2019.0,184348752.0,34834229746.0,-19.0,Chile-Indonesia,Chile,2000,78249883995.6255,Chile,Chile-Indonesia
2000.0,Chile,152.0,Japan,392.0,TOTAL,2546586945.0,701762424.0,18214503759.0,16619725987.0,Chile,Japan,Chile - Japan,2007-09-03,Chile; Japan,Goods & Services,Bilateral,Chile,Japan,Chile,Japan,2007.0,3248349369.0,34834229746.0,-7.0,Chile-Japan,Chile,2000,78249883995.6255,Chile,Chile-Japan
2000.0,Chile,152.0,Malaysia,458.0,TOTAL,58391478.0,71034668.0,18214503759.0,16619725987.0,Chile,Malaysia,Chile - Malaysia,2012-02-25,Chile; Malaysia,Goods,Bilateral,Chile,Malaysia,Chile,Malaysia,2012.0,129426146.0,34834229746.0,-12.0,Chile-Malaysia,Chile,2000,78249883995.6255,Chile,Chile-Malaysia
2000.0,Chile,152.0,Nicaragua,558.0,TOTAL,5304893.0,10811.0,18214503759.0,16619725987.0,Chile,Nicaragua,Chile - Nicaragua (Chile - Central America),2012-10-19,Chile; Nicaragua,Goods & Services,Bilateral,Chile,Nicaragua,Chile,Nicaragua,2012.0,5315704.0,34834229746.0,-12.0,Chile-Nicaragua,Chile,2000,78249883995.6255,Chile,Chile-Nicaragua
2000.0,Chile,152.0,Panama,591.0,TOTAL,39243805.0,6295816.0,18214503759.0,16619725987.0,Chile,Panama,Panama - Chile,2008-03-07,Chile; Panama,Goods & Services,Bilateral,Chile,Panama,Chile,Panama,2008.0,45539621.0,34834229746.0,-8.0,Chile-Panama,Chile,2000,78249883995.6255,Chile,Chile-Panama
